Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
MANA,2020-11-10,0.0898964656,0.1016969457,0.1031108969,0.0894489359
MANA,2020-11-11,0.0855354103,0.08801748,0.0941865567,0.0848706177
MANA,2020-11-12,0.0800587529,0.0837719429,0.0848861458,0.0775362157
MANA,2020-11-13,0.0826987643,0.0835811071,0.0871781072,0.0809278112
MANA,2020-11-14,0.0799122629,0.0831566122,0.0834606571,0.0794539224
MANA,2020-11-15,0.0774014492,0.07973309,0.0830746735,0.0766229881
MANA,2020-11-16,0.0794355666,0.0788353174,0.0829514711,0.077095003
MANA,2020-11-17,0.0799384429,0.079442086,0.0828134121,0.0784875288
MANA,2020-11-18,0.0767152436,0.0761407553,0.0777538756,0.0760920606
MANA,2020-11-19,0.0778848609,0.077353137,0.0788518608,0.0744782178
MANA,2020-11-20,0.0814382079,0.078100145,0.0827517387,0.0779581309
MANA,2020-11-21,0.0884295719,0.0815326534,0.0894643937,0.0806371208
MANA,2020-11-22,0.0858624925,0.08762741,0.0888460476,0.0797933155
MANA,2020-11-23,0.0910611324,0.0855964751,0.0924895258,0.0845631465
MANA,2020-11-24,0.0907597861,0.090269842,0.0953536113,0.0856123529
MANA,2020-11-25,0.0904799721,0.0919819446,0.0973935823,0.0899822167
MANA,2020-11-26,0.0803028646,0.0915168325,0.0964100928,0.0758974331
MANA,2020-11-27,0.0795685615,0.0802022513,0.0817525811,0.0760804329
MANA,2020-11-28,0.0842812246,0.0806581968,0.0854769721,0.0780872722
MANA,2020-11-29,0.0825831877,0.0835068459,0.0845991006,0.0811884397
MANA,2020-11-30,0.0854815021,0.0830561162,0.0867292476,0.0806334077
MANA,2020-12-01,0.0881859558,0.0883864385,0.0938984284,0.082200889
MANA,2020-12-02,0.0923350867,0.086210771,0.0959342009,0.085334194
MANA,2020-12-03,0.0925545774,0.092727358,0.0969490449,0.0910809035
MANA,2020-12-04,0.0870550637,0.0919914721,0.0921550138,0.0859528311
MANA,2020-12-05,0.0915556343,0.0861375168,0.1001273649,0.0851060376
MANA,2020-12-06,0.089669744,0.0921099495,0.0925019109,0.0886607673
MANA,2020-12-07,0.0883093675,0.0902832968,0.0904864898,0.0878401165
MANA,2020-12-08,0.0852871313,0.0889146808,0.0924895833,0.08501992
MANA,2020-12-09,0.0843635617,0.0845212048,0.0846748273,0.0801236942
MANA,2020-12-10,0.0815802108,0.0842611837,0.084675255,0.0803959032
MANA,2020-12-11,0.0790193147,0.0815801345,0.081633878,0.0764922664
MANA,2020-12-12,0.0827378721,0.078588659,0.0830091765,0.0785596537
MANA,2020-12-13,0.0861714062,0.0821579898,0.0881910291,0.0821513851
MANA,2020-12-14,0.086209795,0.0862374364,0.0867201336,0.0835680263
MANA,2020-12-15,0.0860069407,0.0866525566,0.0917491565,0.0858557858
MANA,2020-12-16,0.0883886113,0.0865519757,0.0887777422,0.0832047157
MANA,2020-12-17,0.0863438132,0.0879414434,0.0906611965,0.0841832425
MANA,2020-12-18,0.0891130285,0.0870180023,0.091679701,0.0852284685
MANA,2020-12-19,0.0926862512,0.0891546093,0.094541198,0.0890024231
MANA,2020-12-20,0.0883230101,0.0921955776,0.0973644902,0.0872245173
MANA,2020-12-21,0.0845809687,0.0889511954,0.0906270864,0.0819520482
MANA,2020-12-22,0.081881992,0.0839300334,0.0852502318,0.0814987693
MANA,2020-12-23,0.0770662961,0.0840054473,0.0840707325,0.0727519594
MANA,2020-12-24,0.0800238083,0.0743505306,0.0807825525,0.0700915124
MANA,2020-12-25,0.0801208856,0.0806836994,0.0817249639,0.0764277357
MANA,2020-12-26,0.0780501564,0.0799255608,0.0827489112,0.0762487398
MANA,2020-12-27,0.0806540317,0.0789317075,0.0846206105,0.0769776264
MANA,2020-12-28,0.0817343358,0.0805472037,0.0847750572,0.0799252148
MANA,2020-12-29,0.0796203927,0.0808837085,0.0823277678,0.0768868569
MANA,2020-12-30,0.0770948173,0.0796650551,0.080671227,0.0770307014
MANA,2020-12-31,0.0768202702,0.0780569708,0.0783823589,0.0751110491
MANA,2021-01-01,0.0828240139,0.0778894638,0.0836437482,0.077139856
MANA,2021-01-02,0.0784385934,0.0835815664,0.0835815664,0.0760970126
MANA,2021-01-03,0.079754254,0.0790343399,0.08109795,0.0751998546
MANA,2021-01-04,0.0787834361,0.0805051787,0.0856415132,0.0748259807
MANA,2021-01-05,0.0813201447,0.0788884157,0.0826599203,0.0768435857
MANA,2021-01-06,0.0912378125,0.082350727,0.0931489204,0.0818036202
MANA,2021-01-07,0.1158987606,0.0923553394,380.2002234447,0.09015938
MANA,2021-01-08,0.1153239564,0.1289539233,0.160361872,0.1081329695
MANA,2021-01-09,0.1143107466,0.1260942719,0.1270686287,0.1102784765
MANA,2021-01-10,0.1070706488,0.1151011316,0.1202676845,0.0975482809
MANA,2021-01-11,0.0931912178,0.1063677052,0.1067652152,0.0818725687
MANA,2021-01-12,0.111330267,0.0941368174,0.1190680222,0.0914129984
MANA,2021-01-13,0.1126938047,0.1105407794,0.121499757,0.0990941415
MANA,2021-01-14,0.1090873132,0.1146962261,0.1172368301,0.1078439871
MANA,2021-01-15,0.1069344116,0.1103946309,0.1141508339,0.0984248953
MANA,2021-01-16,0.1073293555,0.1065029635,0.112782335,0.1059281343
MANA,2021-01-17,0.1116911732,0.1090155971,0.1157413034,0.1028953198
MANA,2021-01-18,0.1158527884,0.1108537423,0.117506181,0.1075378111
MANA,2021-01-19,0.1271506204,0.1169654482,0.1352866767,0.1134813648
MANA,2021-01-20,0.1359712173,0.1218914281,0.1442613194,0.1206112292
MANA,2021-01-21,0.1187693433,0.1367542513,0.1371415081,0.115648575
MANA,2021-01-22,0.1596597208,0.1181973863,0.1672779714,0.1026101494
MANA,2021-01-23,0.1907830243,0.1588237006,0.238310842,0.155647159
MANA,2021-01-24,0.17335955,0.1940558429,0.1940610468,0.1656634347
MANA,2021-01-25,0.1619712361,0.1719794635,0.1803110151,0.1598351231
MANA,2021-01-26,0.162875799,0.1633649286,0.1712329546,0.1499007214
MANA,2021-01-27,0.1512260028,0.1664944095,0.1672991841,0.1416838793
MANA,2021-01-28,0.1620513965,0.1472555043,0.1653384229,0.1409495863
MANA,2021-01-29,0.1544451786,0.1585549958,0.1614539624,0.150908486
MANA,2021-01-30,0.1584232036,0.1541834292,0.1610859996,0.1499103907
MANA,2021-01-31,0.1538610594,0.1570670385,0.1582868556,0.1479004378
MANA,2021-02-01,0.1547395681,0.1550611321,0.1551844778,0.1454938332
MANA,2021-02-02,0.1688162684,0.1565319499,0.169564904,0.1519397133
MANA,2021-02-03,0.1761777117,0.168138879,0.1852665643,0.1641975546
MANA,2021-02-04,0.1730009261,0.1765982745,0.1777302758,0.1656558247
MANA,2021-02-05,0.2193393831,0.1724584612,0.219666117,0.1702588528
MANA,2021-02-06,0.2378180976,0.2174582352,0.273208229,0.188678212
MANA,2021-02-07,0.2282394706,0.2351560309,0.2830946092,0.2169821746
MANA,2021-02-08,0.2374425546,0.2374437262,0.2532554126,0.2264005398
MANA,2021-02-09,0.2451907349,0.2373333362,0.2460289258,0.2317462241
MANA,2021-02-10,0.2455376663,0.244269069,0.260836433,0.2297257012
MANA,2021-02-11,0.2860535382,0.2515006677,0.2949773564,0.2445561522
MANA,2021-02-12,0.305491571,0.2819908043,0.3147913074,0.2759803063
MANA,2021-02-13,0.3414741245,0.3027888173,0.3770270215,0.3008070937
MANA,2021-02-14,0.3205622374,0.3467661394,0.3586664334,0.2971979653
MANA,2021-02-15,0.3004163126,0.3124167865,0.3249030133,0.2597116698
MANA,2021-02-16,0.2824186188,0.2972218943,0.3162733654,0.2655447704
MANA,2021-02-17,0.3030310658,0.2904443876,0.3102830563,0.2704016016
MANA,2021-02-18,0.3036982829,0.2999267716,0.3197073432,0.293187449
MANA,2021-02-19,0.3216806686,0.3127302306,0.3587106799,0.2945165789
MANA,2021-02-20,0.2964276337,0.3280417329,0.3294085809,0.2951250676
